n_components,cv_accuracy,cv_std
9,0.7708333333333334,0.06909634979907081
10,0.7708333333333333,0.03608439182435158
14,0.7395833333333334,0.07438987946398803
19,0.6875,0.08589803386703461
28,0.6875,0.12325166214790867
24,0.6354166666666667,0.06830665129481249
5,0.6145833333333334,0.061625831073954355
6,0.5937500000000001,0.10364452469860626
33,0.53125,0.11922419939853746
38,0.49999999999999994,0.09771699499632143
48,0.47916666666666663,0.06909634979907081
43,0.4270833333333333,0.11552642194176474
52,0.4166666666666667,0.07795119555779044
62,0.33333333333333337,0.04166666666666666
57,0.3333333333333333,0.029462782549439473
67,0.22916666666666666,0.046584749531245626
72,0.03125,0.03454817489953541
