feature_set,n_features,best_params,best_cv_score,test_accuracy
mav+wl+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8611111111111112
mav+wl+mean_freq+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7738095238095237,0.7777777777777778
mav+ssc+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.6666666666666666
mav+ssc+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.7222222222222222
mav+ssc+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.6666666666666666
mav+ssc+wamp+mean_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.7857142857142857,0.8611111111111112
mav+ssc+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7023809523809524,0.5833333333333334
mav+ssc+mean_freq+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8095238095238094,0.7222222222222222
mav+zc+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8611111111111112
mav+zc+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.6666666666666666
mav+zc+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238096,0.8333333333333334
mav+wamp+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.75
std+maxav+rms+wl,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9285714285714285,1.0
std+maxav+rms+ssc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.9166666666666666
std+maxav+rms+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.75
std+maxav+rms+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.869047619047619,0.8611111111111112
std+maxav+rms+mean_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8214285714285715,0.9722222222222222
std+maxav+rms+median_freq,40,"{'n_neighbors': 7, 'weights': 'distance'}",0.7857142857142856,0.6944444444444444
std+maxav+wl+ssc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8333333333333334
std+maxav+wl+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.8333333333333334
std+maxav+wl+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.9722222222222222
std+maxav+wl+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.8055555555555556
std+maxav+wl+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8888888888888888
std+maxav+ssc+zc,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8571428571428571,0.7222222222222222
std+maxav+ssc+wamp,40,"{'n_neighbors': 3, 'weights': 'uniform'}",0.8690476190476191,0.75
std+maxav+ssc+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.6944444444444444
std+maxav+ssc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285713,0.75
std+maxav+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8888888888888888
std+maxav+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.75
std+maxav+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.8611111111111112
std+maxav+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.9166666666666666
std+maxav+wamp+median_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8690476190476191,0.6666666666666666
std+maxav+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.6666666666666666
std+rms+wl+ssc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8888888888888888
std+rms+wl+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.9444444444444444
std+rms+wl+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9404761904761906,0.8611111111111112
std+rms+wl+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.9166666666666666,0.8055555555555556
std+rms+wl+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.8888888888888888
std+rms+ssc+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.8333333333333334
std+rms+ssc+wamp,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8571428571428572,0.8888888888888888
std+rms+ssc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8888888888888888
std+rms+ssc+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8452380952380952,0.7222222222222222
std+rms+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9285714285714287,0.8055555555555556
std+rms+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.8611111111111112
std+rms+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.7777777777777778
std+rms+wamp+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.9404761904761906,0.7777777777777778
std+rms+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.75
std+rms+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190478,0.8333333333333334
std+wl+ssc+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.8888888888888888
std+wl+ssc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238096,0.9166666666666666
std+wl+ssc+mean_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8809523809523809,0.7222222222222222
std+wl+ssc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.7222222222222222
std+wl+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8333333333333334
std+wl+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.8611111111111112
std+wl+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.75
std+wl+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8333333333333334
std+wl+wamp+median_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8095238095238094,0.7777777777777778
std+wl+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.9166666666666666
std+ssc+zc+wamp,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7976190476190476,0.8333333333333334
std+ssc+zc+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.75,0.7777777777777778
std+ssc+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.6309523809523809,0.8055555555555556
std+ssc+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8611111111111112
std+ssc+wamp+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7619047619047619,0.8055555555555556
std+ssc+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.75,0.6666666666666666
std+zc+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142856,0.9166666666666666
std+zc+wamp+median_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.75,0.6944444444444444
std+zc+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.8333333333333334
std+wamp+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142856,0.7777777777777778
maxav+rms+wl+ssc,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.7777777777777778
maxav+rms+wl+zc,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8095238095238096,1.0
maxav+rms+wl+wamp,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.880952380952381,0.8333333333333334
maxav+rms+wl+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8888888888888888
maxav+rms+wl+median_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8095238095238096,0.8611111111111112
maxav+rms+ssc+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.9444444444444444
maxav+rms+ssc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.75
maxav+rms+ssc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8333333333333334
maxav+rms+ssc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.75
maxav+rms+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8888888888888888
maxav+rms+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.75
maxav+rms+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.8611111111111112
maxav+rms+wamp+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8452380952380952,0.8611111111111112
maxav+rms+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7261904761904762,0.8055555555555556
maxav+rms+mean_freq+median_freq,40,"{'n_neighbors': 3, 'weights': 'uniform'}",0.7976190476190476,0.8888888888888888
maxav+wl+ssc+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095238,0.9166666666666666
maxav+wl+ssc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.7777777777777778
maxav+wl+ssc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.9722222222222222
maxav+wl+ssc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.8055555555555556
maxav+wl+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.8888888888888888
maxav+wl+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.9166666666666666
maxav+wl+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.8055555555555556
maxav+wl+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.8611111111111112
maxav+wl+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.7222222222222222
maxav+wl+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7619047619047619,0.75
maxav+ssc+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.6944444444444444
maxav+ssc+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.75,0.75
maxav+ssc+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.6666666666666666,0.6944444444444444
maxav+ssc+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.9166666666666666
maxav+ssc+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7142857142857143,0.6944444444444444
maxav+ssc+mean_freq+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7619047619047619,0.7777777777777778
maxav+zc+wamp+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285713,0.7222222222222222
maxav+zc+wamp+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7380952380952381,0.75
maxav+zc+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.75
maxav+wamp+mean_freq+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.75,0.8611111111111112
rms+wl+ssc+zc,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8214285714285715,0.75
rms+wl+ssc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.75
rms+wl+ssc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8611111111111112
rms+wl+ssc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.75,0.75
rms+wl+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.7777777777777778
rms+wl+zc+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.8888888888888888
rms+wl+zc+median_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.7380952380952381,0.75
rms+wl+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.8333333333333334
rms+wl+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8611111111111112
rms+wl+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.8333333333333334
rms+ssc+zc+wamp,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8095238095238096,0.7222222222222222
rms+ssc+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.8333333333333334
rms+ssc+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.6666666666666666
rms+ssc+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.9166666666666666
rms+ssc+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238096,0.7777777777777778
rms+ssc+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.7222222222222222
rms+zc+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571428,0.8055555555555556
rms+zc+wamp+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7976190476190478,0.6944444444444444
rms+zc+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8611111111111112
rms+wamp+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.6388888888888888
wl+ssc+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7619047619047619,0.7777777777777778
wl+ssc+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.75,0.8611111111111112
wl+ssc+zc+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.6785714285714285,0.8333333333333334
wl+ssc+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.8055555555555556
wl+ssc+wamp+median_freq,40,"{'n_neighbors': 3, 'weights': 'uniform'}",0.6785714285714285,0.6666666666666666
wl+ssc+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7023809523809524,0.8611111111111112
wl+zc+wamp+mean_freq,40,"{'n_neighbors': 5, 'weights': 'uniform'}",0.8333333333333334,0.75
wl+zc+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.6944444444444444
wl+zc+mean_freq+median_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.7142857142857144,0.8333333333333334
wl+wamp+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7261904761904762,0.8055555555555556
ssc+zc+wamp+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7738095238095237,0.8055555555555556
ssc+zc+wamp+median_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.7857142857142857,0.5
ssc+zc+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.5714285714285714,0.5555555555555556
ssc+wamp+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7261904761904763,0.5277777777777778
zc+wamp+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.6071428571428571,0.6944444444444444
mav+std+maxav+rms+wl,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9523809523809524,0.8611111111111112
mav+std+maxav+rms+ssc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.9444444444444444
mav+std+maxav+rms+zc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.869047619047619,0.9722222222222222
mav+std+maxav+rms+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.9444444444444444
mav+std+maxav+rms+mean_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8809523809523809,0.8888888888888888
mav+std+maxav+rms+median_freq,50,"{'n_neighbors': 5, 'weights': 'distance'}",0.8452380952380952,0.8333333333333334
mav+std+maxav+wl+ssc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8611111111111112
mav+std+maxav+wl+zc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.869047619047619,0.8888888888888888
mav+std+maxav+wl+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9285714285714285,0.8888888888888888
mav+std+maxav+wl+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.9722222222222222
mav+std+maxav+wl+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.8055555555555556
mav+std+maxav+ssc+zc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571428,0.8611111111111112
mav+std+maxav+ssc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8888888888888888
mav+std+maxav+ssc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.8888888888888888
mav+std+maxav+ssc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8055555555555556
mav+std+maxav+zc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.869047619047619,0.8888888888888888
mav+std+maxav+zc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.8888888888888888
mav+std+maxav+zc+median_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8690476190476191,0.8333333333333334
mav+std+maxav+wamp+mean_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.9285714285714285,0.8333333333333334
mav+std+maxav+wamp+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.7777777777777778
mav+std+maxav+mean_freq+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238096,0.8333333333333334
mav+std+rms+wl+ssc,50,"{'n_neighbors': 5, 'weights': 'distance'}",0.8690476190476191,0.8888888888888888
mav+std+rms+wl+zc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.9166666666666666
mav+std+rms+wl+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9285714285714285,0.8888888888888888
mav+std+rms+wl+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.9166666666666666
mav+std+rms+wl+median_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8571428571428571,0.8055555555555556
mav+std+rms+ssc+zc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8611111111111112
mav+std+rms+ssc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.8888888888888888
mav+std+rms+ssc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.8611111111111112
mav+std+rms+ssc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.9166666666666666
mav+std+rms+zc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.8888888888888888
mav+std+rms+zc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.9444444444444444
mav+std+rms+zc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.9444444444444444
mav+std+rms+wamp+mean_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8928571428571429,0.75
mav+std+rms+wamp+median_freq,50,"{'n_neighbors': 5, 'weights': 'distance'}",0.8452380952380952,0.8055555555555556
mav+std+rms+mean_freq+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.9166666666666666
mav+std+wl+ssc+zc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.8611111111111112
mav+std+wl+ssc+wamp,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.7976190476190476,0.8888888888888888
mav+std+wl+ssc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8333333333333334
mav+std+wl+ssc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142856,0.9166666666666666
mav+std+wl+zc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8611111111111112
mav+std+wl+zc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.9166666666666666
mav+std+wl+zc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8333333333333334
mav+std+wl+wamp+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.8333333333333334
mav+std+wl+wamp+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8055555555555556
mav+std+wl+mean_freq+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8611111111111112
mav+std+ssc+zc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.7222222222222222
mav+std+ssc+zc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.8333333333333334
mav+std+ssc+zc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7023809523809524,0.8333333333333334
mav+std+ssc+wamp+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9404761904761906,0.8333333333333334
mav+std+ssc+wamp+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.7222222222222222
mav+std+ssc+mean_freq+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8611111111111112
mav+std+zc+wamp+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8888888888888888
mav+std+zc+wamp+median_freq,50,"{'n_neighbors': 5, 'weights': 'distance'}",0.8095238095238094,0.6944444444444444
mav+std+zc+mean_freq+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8888888888888888
mav+std+wamp+mean_freq+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8611111111111112
mav+maxav+rms+wl+ssc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.9444444444444444
mav+maxav+rms+wl+zc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.8055555555555556
mav+maxav+rms+wl+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.8333333333333334
mav+maxav+rms+wl+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8888888888888888
mav+maxav+rms+wl+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8055555555555556
mav+maxav+rms+ssc+zc,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8571428571428572,0.8888888888888888
mav+maxav+rms+ssc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.8611111111111112
mav+maxav+rms+ssc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.7777777777777778
mav+maxav+rms+ssc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8055555555555556
mav+maxav+rms+zc+wamp,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8095238095238094,0.8333333333333334
mav+maxav+rms+zc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.7777777777777778
mav+maxav+rms+zc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.8333333333333334
mav+maxav+rms+wamp+mean_freq,50,"{'n_neighbors': 5, 'weights': 'distance'}",0.869047619047619,0.8333333333333334
mav+maxav+rms+wamp+median_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.8333333333333334
mav+maxav+rms+mean_freq+median_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.8055555555555556
mav+maxav+wl+ssc+zc,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8888888888888888
mav+maxav+wl+ssc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.7777777777777778
mav+maxav+wl+ssc+mean_freq,50,"{'n_neighbors': 7, 'weights': 'distance'}",0.8690476190476191,0.7222222222222222
mav+maxav+wl+ssc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.7222222222222222
mav+maxav+wl+zc+wamp,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.8611111111111112
mav+maxav+wl+zc+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.9444444444444444
mav+maxav+wl+zc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.8333333333333334
mav+maxav+wl+wamp+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9285714285714285,0.8611111111111112
mav+maxav+wl+wamp+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.7777777777777778
mav+maxav+wl+mean_freq+median_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8095238095238096,0.7777777777777778
mav+maxav+ssc+zc+wamp,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.8333333333333334
mav+maxav+ssc+zc+mean_freq,50,"{'n_neighbors': 5, 'weights': 'distance'}",0.7976190476190478,0.9166666666666666
mav+maxav+ssc+zc+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.6944444444444444
mav+maxav+ssc+wamp+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8611111111111112
mav+maxav+ssc+wamp+median_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.7976190476190476,0.6944444444444444
mav+maxav+ssc+mean_freq+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.8611111111111112
mav+maxav+zc+wamp+mean_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8888888888888888
mav+maxav+zc+wamp+median_freq,50,"{'n_neighbors': 3, 'weights': 'distance'}",0.7857142857142857,0.8055555555555556
mav+maxav+zc+mean_freq+median_freq,50,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7619047619047619,0.8055555555555556
