n_features,cv_accuracy,cv_std
48,0.7916666666666666,0.09316949906249124
43,0.7812500000000001,0.05412658773652742
67,0.78125,0.045405197328548676
52,0.7604166666666666,0.034548174899535385
72,0.7604166666666666,0.08001193487363134
62,0.75,0.029462782549439452
57,0.7395833333333333,0.04540519732854869
38,0.7291666666666667,0.09547032697824666
28,0.7291666666666666,0.06909634979907081
33,0.71875,0.06162583107395432
23,0.6979166666666667,0.04540519732854869
24,0.6770833333333334,0.03454817489953543
19,0.65625,0.09490034978275312
14,0.6458333333333333,0.07511565157216646
9,0.4270833333333333,0.05412658773652741
5,0.21875,0.11552642194176478
