feature,mi
mav,0.7703858721585245
rms,0.7670409334725077
std,0.7228019887235931
wl,0.7211539124855146
maxav,0.6992974018809479
wamp,0.5190834488844287
zc,0.42189071915659565
ssc,0.3538870234467919
mean_freq,0.3351201437712162
median_freq,0.24865589315328038
