n_components,cv_accuracy,cv_std
10,0.71875,0.08001193487363131
33,0.7187499999999999,0.074389879463988
28,0.7083333333333334,0.058925565098878946
41,0.7083333333333333,0.08838834764831842
38,0.6979166666666666,0.09490034978275312
9,0.6979166666666666,0.09490034978275312
14,0.6979166666666666,0.06162583107395433
6,0.6875,0.06909634979907082
43,0.6875,0.13339842161318435
19,0.6770833333333334,0.08001193487363131
24,0.6770833333333333,0.09936866681426516
48,0.6666666666666667,0.06588078458684123
5,0.6458333333333334,0.06909634979907087
57,0.6458333333333333,0.10825317547305485
62,0.6354166666666667,0.1117063051537876
67,0.625,0.06588078458684125
52,0.6145833333333334,0.10364452469860626
72,0.6041666666666666,0.10825317547305482
65,0.59375,0.08001193487363134
