feature_set,n_features,best_cv_score,test_accuracy
std+wamp+mean_freq,30,0.5833333333333334,0.7222222222222222
std+wamp+median_freq,30,0.5714285714285714,0.75
std+mean_freq+median_freq,30,0.5833333333333334,0.6666666666666666
maxav+rms+wl,30,0.6547619047619048,0.6388888888888888
maxav+rms+ssc,30,0.5595238095238095,0.7222222222222222
maxav+rms+zc,30,0.5714285714285714,0.6944444444444444
maxav+rms+wamp,30,0.5714285714285715,0.75
maxav+rms+mean_freq,30,0.6071428571428571,0.6944444444444444
maxav+rms+median_freq,30,0.5952380952380952,0.75
maxav+wl+ssc,30,0.6428571428571429,0.5833333333333334
maxav+wl+zc,30,0.6428571428571428,0.75
maxav+wl+wamp,30,0.6547619047619048,0.6944444444444444
maxav+wl+mean_freq,30,0.6785714285714285,0.5277777777777778
maxav+wl+median_freq,30,0.6666666666666666,0.6111111111111112
maxav+ssc+zc,30,0.5476190476190476,0.6944444444444444
maxav+ssc+wamp,30,0.5952380952380952,0.6111111111111112
maxav+ssc+mean_freq,30,0.5833333333333334,0.6388888888888888
maxav+ssc+median_freq,30,0.5714285714285714,0.6666666666666666
maxav+zc+wamp,30,0.5595238095238095,0.6944444444444444
maxav+zc+mean_freq,30,0.5476190476190476,0.7222222222222222
maxav+zc+median_freq,30,0.6071428571428572,0.7222222222222222
maxav+wamp+mean_freq,30,0.5952380952380952,0.6666666666666666
maxav+wamp+median_freq,30,0.6309523809523809,0.6666666666666666
maxav+mean_freq+median_freq,30,0.6309523809523809,0.6388888888888888
rms+wl+ssc,30,0.5952380952380952,0.6944444444444444
rms+wl+zc,30,0.5714285714285713,0.7222222222222222
rms+wl+wamp,30,0.6428571428571428,0.75
rms+wl+mean_freq,30,0.5357142857142857,0.6111111111111112
rms+wl+median_freq,30,0.6190476190476191,0.6388888888888888
rms+ssc+zc,30,0.5357142857142857,0.75
rms+ssc+wamp,30,0.6309523809523809,0.7222222222222222
rms+ssc+mean_freq,30,0.48809523809523814,0.6666666666666666
rms+ssc+median_freq,30,0.5357142857142857,0.5833333333333334
rms+zc+wamp,30,0.5714285714285715,0.8055555555555556
rms+zc+mean_freq,30,0.5476190476190476,0.7222222222222222
rms+zc+median_freq,30,0.5952380952380952,0.6944444444444444
rms+wamp+mean_freq,30,0.5952380952380952,0.7222222222222222
rms+wamp+median_freq,30,0.6071428571428571,0.75
rms+mean_freq+median_freq,30,0.5595238095238094,0.6666666666666666
wl+ssc+zc,30,0.5595238095238094,0.5555555555555556
wl+ssc+wamp,30,0.619047619047619,0.5555555555555556
wl+ssc+mean_freq,30,0.5833333333333334,0.4444444444444444
wl+ssc+median_freq,30,0.5833333333333334,0.6388888888888888
wl+zc+wamp,30,0.5952380952380952,0.6111111111111112
wl+zc+mean_freq,30,0.6309523809523809,0.6111111111111112
wl+zc+median_freq,30,0.6309523809523809,0.6666666666666666
wl+wamp+mean_freq,30,0.5833333333333334,0.5555555555555556
wl+wamp+median_freq,30,0.6428571428571428,0.6388888888888888
wl+mean_freq+median_freq,30,0.6666666666666666,0.5833333333333334
ssc+zc+wamp,30,0.6428571428571429,0.6388888888888888
ssc+zc+mean_freq,30,0.48809523809523814,0.6944444444444444
ssc+zc+median_freq,30,0.4166666666666667,0.5555555555555556
ssc+wamp+mean_freq,30,0.5595238095238094,0.6666666666666666
ssc+wamp+median_freq,30,0.5357142857142857,0.5277777777777778
ssc+mean_freq+median_freq,30,0.4047619047619047,0.5
zc+wamp+mean_freq,30,0.5357142857142857,0.6666666666666666
zc+wamp+median_freq,30,0.5595238095238094,0.6944444444444444
zc+mean_freq+median_freq,30,0.4523809523809524,0.7222222222222222
wamp+mean_freq+median_freq,30,0.6071428571428572,0.5833333333333334
mav+std+maxav+rms,40,0.6666666666666666,0.8333333333333334
mav+std+maxav+wl,40,0.6547619047619048,0.75
mav+std+maxav+ssc,40,0.6309523809523809,0.8333333333333334
mav+std+maxav+zc,40,0.5952380952380953,0.8333333333333334
mav+std+maxav+wamp,40,0.6428571428571429,0.8055555555555556
mav+std+maxav+mean_freq,40,0.6785714285714285,0.7777777777777778
mav+std+maxav+median_freq,40,0.6071428571428572,0.8333333333333334
mav+std+rms+wl,40,0.6666666666666666,0.8055555555555556
mav+std+rms+ssc,40,0.5952380952380952,0.7777777777777778
mav+std+rms+zc,40,0.6190476190476191,0.8611111111111112
mav+std+rms+wamp,40,0.5833333333333334,0.8055555555555556
mav+std+rms+mean_freq,40,0.6071428571428571,0.7777777777777778
mav+std+rms+median_freq,40,0.5952380952380952,0.8055555555555556
mav+std+wl+ssc,40,0.5833333333333334,0.8055555555555556
mav+std+wl+zc,40,0.6309523809523809,0.7777777777777778
mav+std+wl+wamp,40,0.619047619047619,0.7777777777777778
mav+std+wl+mean_freq,40,0.6071428571428571,0.7222222222222222
mav+std+wl+median_freq,40,0.6785714285714285,0.7777777777777778
mav+std+ssc+zc,40,0.5714285714285715,0.8333333333333334
mav+std+ssc+wamp,40,0.6190476190476191,0.7777777777777778
mav+std+ssc+mean_freq,40,0.5833333333333334,0.7777777777777778
mav+std+ssc+median_freq,40,0.5952380952380952,0.75
mav+std+zc+wamp,40,0.5714285714285715,0.7777777777777778
mav+std+zc+mean_freq,40,0.5476190476190476,0.7777777777777778
mav+std+zc+median_freq,40,0.5595238095238094,0.8333333333333334
mav+std+wamp+mean_freq,40,0.5714285714285714,0.7222222222222222
mav+std+wamp+median_freq,40,0.5952380952380952,0.7777777777777778
mav+std+mean_freq+median_freq,40,0.6071428571428572,0.7777777777777778
mav+maxav+rms+wl,40,0.6904761904761906,0.6111111111111112
mav+maxav+rms+ssc,40,0.619047619047619,0.6944444444444444
mav+maxav+rms+zc,40,0.5833333333333334,0.7777777777777778
mav+maxav+rms+wamp,40,0.5476190476190476,0.7222222222222222
mav+maxav+rms+mean_freq,40,0.5952380952380952,0.6666666666666666
mav+maxav+rms+median_freq,40,0.5952380952380952,0.7222222222222222
mav+maxav+wl+ssc,40,0.6666666666666666,0.6388888888888888
mav+maxav+wl+zc,40,0.6309523809523809,0.8055555555555556
mav+maxav+wl+wamp,40,0.6666666666666666,0.75
mav+maxav+wl+mean_freq,40,0.6547619047619048,0.6388888888888888
mav+maxav+wl+median_freq,40,0.6785714285714285,0.7222222222222222
mav+maxav+ssc+zc,40,0.619047619047619,0.75
mav+maxav+ssc+wamp,40,0.6190476190476191,0.7222222222222222
mav+maxav+ssc+mean_freq,40,0.5952380952380952,0.6666666666666666
mav+maxav+ssc+median_freq,40,0.6071428571428571,0.6944444444444444
mav+maxav+zc+wamp,40,0.5952380952380952,0.8055555555555556
mav+maxav+zc+mean_freq,40,0.5476190476190476,0.7777777777777778
mav+maxav+zc+median_freq,40,0.6309523809523809,0.8055555555555556
mav+maxav+wamp+mean_freq,40,0.5952380952380952,0.6944444444444444
mav+maxav+wamp+median_freq,40,0.6309523809523809,0.75
mav+maxav+mean_freq+median_freq,40,0.5952380952380952,0.7222222222222222
mav+rms+wl+ssc,40,0.5714285714285714,0.7222222222222222
mav+rms+wl+zc,40,0.5833333333333334,0.8055555555555556
mav+rms+wl+wamp,40,0.5952380952380952,0.75
mav+rms+wl+mean_freq,40,0.5714285714285715,0.6111111111111112
mav+rms+wl+median_freq,40,0.6309523809523809,0.6388888888888888
mav+rms+ssc+zc,40,0.5476190476190476,0.75
mav+rms+ssc+wamp,40,0.6190476190476191,0.75
mav+rms+ssc+mean_freq,40,0.48809523809523814,0.6111111111111112
mav+rms+ssc+median_freq,40,0.5595238095238094,0.7222222222222222
mav+rms+zc+wamp,40,0.5595238095238094,0.8611111111111112
mav+rms+zc+mean_freq,40,0.5119047619047619,0.75
mav+rms+zc+median_freq,40,0.630952380952381,0.8055555555555556
mav+rms+wamp+mean_freq,40,0.5476190476190476,0.7777777777777778
mav+rms+wamp+median_freq,40,0.5714285714285715,0.6944444444444444
mav+rms+mean_freq+median_freq,40,0.5952380952380952,0.7222222222222222
mav+wl+ssc+zc,40,0.5952380952380952,0.6111111111111112
mav+wl+ssc+wamp,40,0.6071428571428571,0.6666666666666666
mav+wl+ssc+mean_freq,40,0.5357142857142857,0.5277777777777778
mav+wl+ssc+median_freq,40,0.5952380952380952,0.6111111111111112
mav+wl+zc+wamp,40,0.5714285714285713,0.7222222222222222
mav+wl+zc+mean_freq,40,0.5833333333333334,0.6111111111111112
mav+wl+zc+median_freq,40,0.6071428571428571,0.75
mav+wl+wamp+mean_freq,40,0.5833333333333334,0.6388888888888888
mav+wl+wamp+median_freq,40,0.5952380952380952,0.6388888888888888
mav+wl+mean_freq+median_freq,40,0.5952380952380952,0.6944444444444444
mav+ssc+zc+wamp,40,0.5952380952380952,0.6944444444444444
mav+ssc+zc+mean_freq,40,0.511904761904762,0.75
mav+ssc+zc+median_freq,40,0.5476190476190476,0.7777777777777778
